File,SensorId,Sensor_Location,Feature,Tiro_A,Tiro_B,DTW_Distance
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,4,0.0913346111774445
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,3,5,0.03502386808395347
data_P2_tanda_2.csv,LPMSB2-4B3322,Mano de Arco,AccZ (g)_sg,4,5,0.05631074309349065
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,2,0.044152381977304166
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,3,0.04417284350462493
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,4,0.04687173246814505
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,1,5,0.021766645015541812
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,3,0.05316972407430293
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,4,0.056056316025814505
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,2,5,0.012598398468902617
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,4,0.04151826571161919
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,3,5,0.04545156950352036
data_P2_tanda_2.csv,LPMSB2-4B339F,Brazo,AccZ (g)_sg,4,5,0.06757045171160514
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,2,0.05353486537933206
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,3,0.2649160027503969
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,4,0.11366558074951179
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,1,5,1.1704059243202214
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,3,0.3184508681297298
data_P2_tanda_3.csv,LPMSB2-4B3285,Mano de Suelta,AccZ (g)_sg,2,4,0.1672004461288453
